KEYTAB_KEY;KEYTAB_KURZTEXT;KEYTAB_LANGTEXT_1;KEYTAB_LANGTEXT_2
091;Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas;Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas;
0910;Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas;Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas;
09100;Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas;Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas;
099;Erbringung von Dienstleistungen für den sonstigen Bergbau und die Gewinnung von Steinen und Erden;Erbringung von Dienstleistungen für den sonstigen Bergbau und die Gewinnung von Steinen und Erden;
0990;Erbringung von Dienstleistungen für den sonstigen Bergbau und die Gewinnung von Steinen und Erden;Erbringung von Dienstleistungen für den sonstigen Bergbau und die Gewinnung von Steinen und Erden;
09900;Erbringung von Dienstleistungen für den sonstigen Bergbau und die Gewinnung von Steinen und Erden;Erbringung von Dienstleistungen für den sonstigen Bergbau und die Gewinnung von Steinen und Erden;
10;Herstellung von Nahrungs- und Futtermitteln;Herstellung von Nahrungs- und Futtermitteln;
101;Schlachten und Fleischverarbeitung;Schlachten und Fleischverarbeitung;
1011;Schlachten, ohne Schlachten von Geflügel;Schlachten, ohne Schlachten von Geflügel;
10111;Schlachten von Schweinen;Schlachten von Schweinen;
10112;Schlachten von Rindern;Schlachten von Rindern;
10119;Schlachten von Tieren a. n. g.;Schlachten von Tieren a. n. g.;
1012;Schlachten von Geflügel;Schlachten von Geflügel;
10120;Schlachten von Geflügel;Schlachten von Geflügel;
1013;Fleischverarbeitung;Fleischverarbeitung;
10131;Verarbeitung von Schweinefleisch;Verarbeitung von Schweinefleisch;
10132;Verarbeitung von Rindfleisch;Verarbeitung von Rindfleisch;
10139;Fleischverarbeitung a. n. g.;Fleischverarbeitung a. n. g.;
102;Fischverarbeitung;Fischverarbeitung;
1020;Fischverarbeitung;Fischverarbeitung;
10200;Fischverarbeitung;Fischverarbeitung;
103;Obst- und Gemüseverarbeitung;Obst- und Gemüseverarbeitung;
1031;Kartoffelverarbeitung;Kartoffelverarbeitung;
10310;Kartoffelverarbeitung;Kartoffelverarbeitung;
1032;Herstellung von Frucht- und Gemüsesäften;Herstellung von Frucht- und Gemüsesäften;
10320;Herstellung von Frucht- und Gemüsesäften;Herstellung von Frucht- und Gemüsesäften;
1039;Sonstige Verarbeitung von Obst und Gemüse;Sonstige Verarbeitung von Obst und Gemüse;
10390;Sonstige Verarbeitung von Obst und Gemüse;Sonstige Verarbeitung von Obst und Gemüse;
103901;Herstellung von Marmeladen, Gelees, Konfitüren, Obstaufstrichen;Herstellung von Marmeladen, Gelees, Konfitüren, Obstaufstrichen;
104;Herstellung von pflanzlichen und tierischen Ölen und Fetten;Herstellung von pflanzlichen und tierischen Ölen und Fetten;
1041;Herstellung von Ölen und Fetten, ohne Margarine u. ä. Nahrungsfette;Herstellung von Ölen und Fetten, ohne Margarine u. ä. Nahrungsfette;
10410;Herstellung von Ölen und Fetten, ohne Margarine u. ä. Nahrungsfette;Herstellung von Ölen und Fetten, ohne Margarine u. ä. Nahrungsfette;
1042;Herstellung von Margarine u. ä. Nahrungsfetten;Herstellung von Margarine u. ä. Nahrungsfetten;
10420;Herstellung von Margarine u. ä. Nahrungsfetten;Herstellung von Margarine u. ä. Nahrungsfetten;
105;Herstellung von Milcherzeugnissen und Speiseeis;Herstellung von Milcherzeugnissen und Speiseeis;
1051;Herstellung von Milcherzeugnissen;Herstellung von Milcherzeugnissen;
10510;Herstellung von Milcherzeugnissen;Herstellung von Milcherzeugnissen;
105101;Käserei;Käserei;
1052;Herstellung von Speiseeis;Herstellung von Speiseeis;
10520;Herstellung von Speiseeis;Herstellung von Speiseeis;
106;Mahl- und Schälmühlen, Herstellung von Stärke und Stärkeerzeugnissen;Mahl- und Schälmühlen, Herstellung von Stärke und Stärkeerzeugnissen;
1061;Mahl- und Schälmühlen;Mahl- und Schälmühlen;
10610;Mahl- und Schälmühlen;Mahl- und Schälmühlen;
1062;Herstellung von Stärke und Stärkeerzeugnissen;Herstellung von Stärke und Stärkeerzeugnissen;
10620;Herstellung von Stärke und Stärkeerzeugnissen;Herstellung von Stärke und Stärkeerzeugnissen;
